Species,PlotID,Date,Year,Replicate,Birds,Nests
PECO,11,6/29/1990,1990,4,0,0
PECO,12,6/29/1990,1990,4,6,6
PECO,13A,6/29/1990,1990,4,0,0
PECO,13B,6/29/1990,1990,4,0,0
PECO,14,6/29/1990,1990,4,9,8
PECO,15A,6/29/1990,1990,4,16,13
PECO,15B,6/29/1990,1990,4,4,3
BLKI,18,7/1/1990,1990,5,6,10
BLKI,1,7/1/1990,1990,5,33,20
BLKI,2,7/1/1990,1990,5,0,0
BLKI,2A,7/1/1990,1990,5,15,9
BLKI,3A,7/1/1990,1990,5,15,8
BLKI,3C,7/1/1990,1990,5,1,0
BLKI,4,7/1/1990,1990,5,77,28
BLKI,5A,7/1/1990,1990,5,1,0
BLKI,5B,7/1/1990,1990,5,52,36
BLKI,6A,7/1/1990,1990,5,14,4
BLKI,6B,7/1/1990,1990,5,17,10
BLKI,7A,7/1/1990,1990,5,20,26
BLKI,7B,7/1/1990,1990,5,87,90
BLKI,7C,7/1/1990,1990,5,0,0
BLKI,7D,7/1/1990,1990,5,35,35
BLKI,7E,7/1/1990,1990,5,27,34
BLKI,7F,7/1/1990,1990,5,0,0
BLKI,7G,7/1/1990,1990,5,0,0
BLKI,7H,7/1/1990,1990,5,55,54
BLKI,7.1 A,7/1/1990,1990,5,61,64
BLKI,8,7/1/1990,1990,5,80,83
BLKI,9,7/1/1990,1990,5,168,130
BLKI,10A,7/1/1990,1990,5,132,119
BLKI,10B,7/1/1990,1990,5,57,52
BLKI,10C,7/1/1990,1990,5,91,86
BLKI,10DEF,7/1/1990,1990,5,286,268
BLKI,10G,7/1/1990,1990,5,168,146
BLKI,10H,7/1/1990,1990,5,85,78
BLKI,10I,7/1/1990,1990,5,110,103
BLKI,11,7/1/1990,1990,5,68,59
BLKI,12,7/1/1990,1990,5,138,106
BLKI,13A,7/1/1990,1990,5,140,32
BLKI,13B,7/1/1990,1990,5,194,118
BLKI,14,7/1/1990,1990,5,73,51
BLKI,15A,7/1/1990,1990,5,176,122
BLKI,15B,7/1/1990,1990,5,32,24
COMU,18,7/1/1990,1990,5,0,
COMU,1,7/1/1990,1990,5,0,
COMU,2,7/1/1990,1990,5,0,
COMU,2A,7/1/1990,1990,5,0,
COMU,3A,7/1/1990,1990,5,0,
COMU,3C,7/1/1990,1990,5,0,
COMU,4,7/1/1990,1990,5,13,
COMU,5A,7/1/1990,1990,5,0,
COMU,5B,7/1/1990,1990,5,0,
COMU,6A,7/1/1990,1990,5,0,
COMU,6B,7/1/1990,1990,5,34,
COMU,7A,7/1/1990,1990,5,1,
COMU,7B,7/1/1990,1990,5,61,
COMU,7C,7/1/1990,1990,5,178,
COMU,7D,7/1/1990,1990,5,19,
COMU,7E,7/1/1990,1990,5,0,
COMU,7F,7/1/1990,1990,5,21,
COMU,7G,7/1/1990,1990,5,30,
COMU,7H,7/1/1990,1990,5,124,
COMU,7.1 A,7/1/1990,1990,5,0,
COMU,8,7/1/1990,1990,5,46,
COMU,9,7/1/1990,1990,5,254,
COMU,10A,7/1/1990,1990,5,123,
COMU,10B,7/1/1990,1990,5,78,
COMU,10C,7/1/1990,1990,5,192,
COMU,10DEF,7/1/1990,1990,5,924,
COMU,10G,7/1/1990,1990,5,237,
COMU,10H,7/1/1990,1990,5,374,
COMU,10I,7/1/1990,1990,5,367,
COMU,11,7/1/1990,1990,5,0,
COMU,12,7/1/1990,1990,5,242,
COMU,13A,7/1/1990,1990,5,164,
COMU,13B,7/1/1990,1990,5,324,
COMU,14,7/1/1990,1990,5,161,
COMU,15A,7/1/1990,1990,5,92,
COMU,15B,7/1/1990,1990,5,0,
PECO,18,7/1/1990,1990,5,0,0
PECO,1,7/1/1990,1990,5,0,0
PECO,2,7/1/1990,1990,5,0,0
PECO,2A,7/1/1990,1990,5,0,0
PECO,3A,7/1/1990,1990,5,3,4
PECO,3C,7/1/1990,1990,5,0,0
PECO,4,7/1/1990,1990,5,7,5
PECO,5A,7/1/1990,1990,5,2,4
PECO,5B,7/1/1990,1990,5,10,6
PECO,6A,7/1/1990,1990,5,3,0
PECO,6B,7/1/1990,1990,5,0,0
PECO,7A,7/1/1990,1990,5,0,0
PECO,7B,7/1/1990,1990,5,2,1
PECO,7C,7/1/1990,1990,5,0,0
PECO,7D,7/1/1990,1990,5,1,1
